"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","test_get_resource_list","tests.api","Sun Apr 20 15:10:30 GMT 2025","passed","Sun Apr 20 15:10:30 GMT 2025","","test_resource","",""
"","177","test_update_user_values","tests.api","Sun Apr 20 15:10:30 GMT 2025","passed","Sun Apr 20 15:10:31 GMT 2025","","test_users","",""
"","230","test_delete_user","tests.api","Sun Apr 20 15:10:31 GMT 2025","passed","Sun Apr 20 15:10:31 GMT 2025","","test_users","",""
"","333","test_login_without_password_display_error[firefox]","tests.ui","Sun Apr 20 15:11:01 GMT 2025","passed","Sun Apr 20 15:11:01 GMT 2025","","test_login","",""
"","177","test_user_not_found","tests.api","Sun Apr 20 15:10:30 GMT 2025","passed","Sun Apr 20 15:10:30 GMT 2025","","test_users","",""
"","2808","test_success_login[firefox-standard_user]","tests.ui","Sun Apr 20 15:10:44 GMT 2025","passed","Sun Apr 20 15:10:46 GMT 2025","","test_login","",""
"","185","test_get_non_existent_resource","tests.api","Sun Apr 20 15:10:30 GMT 2025","passed","Sun Apr 20 15:10:30 GMT 2025","","test_resource","",""
"","28","test_get_users","tests.api","Sun Apr 20 15:10:30 GMT 2025","passed","Sun Apr 20 15:10:30 GMT 2025","","test_users","",""
"","3348","test_fail_order_proces[firefox]","tests.ui","Sun Apr 20 15:10:40 GMT 2025","passed","Sun Apr 20 15:10:43 GMT 2025","","test_e2e","",""
"","2814","test_login_with_incorrect_user_display_error[firefox]","tests.ui","Sun Apr 20 15:11:04 GMT 2025","passed","Sun Apr 20 15:11:07 GMT 2025","","test_login","",""
"","2782","test_login_with_locked_out_user_display_error[firefox]","tests.ui","Sun Apr 20 15:11:01 GMT 2025","passed","Sun Apr 20 15:11:04 GMT 2025","","test_login","",""
"","7828","test_success_login[firefox-performance_glitch_user]","tests.ui","Sun Apr 20 15:10:47 GMT 2025","passed","Sun Apr 20 15:10:55 GMT 2025","","test_login","",""
"","178","test_unsuccessful_register","tests.api","Sun Apr 20 15:10:30 GMT 2025","passed","Sun Apr 20 15:10:30 GMT 2025","","test_register","",""
"","2800","test_success_login[firefox-visual_user]","tests.ui","Sun Apr 20 15:10:58 GMT 2025","passed","Sun Apr 20 15:11:01 GMT 2025","","test_login","",""
"","167","test_unsuccessful_login","tests.api","Sun Apr 20 15:10:29 GMT 2025","passed","Sun Apr 20 15:10:29 GMT 2025","","test_login","",""
"","186","test_create_user","tests.api","Sun Apr 20 15:10:30 GMT 2025","passed","Sun Apr 20 15:10:30 GMT 2025","","test_users","",""
"","3161","test_get_users_with_delay","tests.api","Sun Apr 20 15:10:31 GMT 2025","passed","Sun Apr 20 15:10:34 GMT 2025","","test_users","",""
"","168","test_successful_register","tests.api","Sun Apr 20 15:10:29 GMT 2025","passed","Sun Apr 20 15:10:30 GMT 2025","","test_register","",""
"","3645","test_successfully_order_process[firefox]","tests.ui","Sun Apr 20 15:10:36 GMT 2025","passed","Sun Apr 20 15:10:40 GMT 2025","","test_e2e","",""
"","181","test_successful_login","tests.api","Sun Apr 20 15:10:29 GMT 2025","passed","Sun Apr 20 15:10:29 GMT 2025","","test_login","",""
"","26","test_get_single_resource","tests.api","Sun Apr 20 15:10:30 GMT 2025","passed","Sun Apr 20 15:10:30 GMT 2025","","test_resource","",""
"","2831","test_success_login[firefox-error_user]","tests.ui","Sun Apr 20 15:10:55 GMT 2025","passed","Sun Apr 20 15:10:58 GMT 2025","","test_login","",""
"","329","test_login_without_user_and_pass_display_error[firefox]","tests.ui","Sun Apr 20 15:11:07 GMT 2025","passed","Sun Apr 20 15:11:08 GMT 2025","","test_login","",""
