"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47","test_get_users","tests.api","Sun Apr 20 14:58:19 GMT 2025","passed","Sun Apr 20 14:58:19 GMT 2025","","test_users","",""
"","374","test_login_without_password_display_error[firefox]","tests.ui","Sun Apr 20 14:58:50 GMT 2025","passed","Sun Apr 20 14:58:50 GMT 2025","","test_login","",""
"","340","test_user_not_found","tests.api","Sun Apr 20 14:58:19 GMT 2025","passed","Sun Apr 20 14:58:19 GMT 2025","","test_users","",""
"","372","test_login_without_user_and_pass_display_error[firefox]","tests.ui","Sun Apr 20 14:58:56 GMT 2025","passed","Sun Apr 20 14:58:56 GMT 2025","","test_login","",""
"","326","test_get_single_resource","tests.api","Sun Apr 20 14:58:18 GMT 2025","passed","Sun Apr 20 14:58:18 GMT 2025","","test_resource","",""
"","2847","test_success_login[firefox-error_user]","tests.ui","Sun Apr 20 14:58:43 GMT 2025","passed","Sun Apr 20 14:58:46 GMT 2025","","test_login","",""
"","2903","test_success_login[firefox-standard_user]","tests.ui","Sun Apr 20 14:58:32 GMT 2025","passed","Sun Apr 20 14:58:35 GMT 2025","","test_login","",""
"","2799","test_login_with_incorrect_user_display_error[firefox]","tests.ui","Sun Apr 20 14:58:53 GMT 2025","passed","Sun Apr 20 14:58:56 GMT 2025","","test_login","",""
"","352","test_get_non_existent_resource","tests.api","Sun Apr 20 14:58:18 GMT 2025","passed","Sun Apr 20 14:58:19 GMT 2025","","test_resource","",""
"","337","test_unsuccessful_login","tests.api","Sun Apr 20 14:58:17 GMT 2025","passed","Sun Apr 20 14:58:17 GMT 2025","","test_login","",""
"","352","test_update_user_values","tests.api","Sun Apr 20 14:58:19 GMT 2025","passed","Sun Apr 20 14:58:20 GMT 2025","","test_users","",""
"","323","test_create_user","tests.api","Sun Apr 20 14:58:19 GMT 2025","passed","Sun Apr 20 14:58:19 GMT 2025","","test_users","",""
"","331","test_successful_register","tests.api","Sun Apr 20 14:58:17 GMT 2025","passed","Sun Apr 20 14:58:17 GMT 2025","","test_register","",""
"","2868","test_success_login[firefox-visual_user]","tests.ui","Sun Apr 20 14:58:46 GMT 2025","passed","Sun Apr 20 14:58:49 GMT 2025","","test_login","",""
"","3549","test_successfully_order_process[firefox]","tests.ui","Sun Apr 20 14:58:25 GMT 2025","broken","Sun Apr 20 14:58:28 GMT 2025","","test_e2e","",""
"","3373","test_fail_order_proces[firefox]","tests.ui","Sun Apr 20 14:58:28 GMT 2025","passed","Sun Apr 20 14:58:32 GMT 2025","","test_e2e","",""
"","348","test_get_resource_list","tests.api","Sun Apr 20 14:58:18 GMT 2025","passed","Sun Apr 20 14:58:18 GMT 2025","","test_resource","",""
"","368","test_successful_login","tests.api","Sun Apr 20 14:58:16 GMT 2025","passed","Sun Apr 20 14:58:17 GMT 2025","","test_login","",""
"","7839","test_success_login[firefox-performance_glitch_user]","tests.ui","Sun Apr 20 14:58:35 GMT 2025","passed","Sun Apr 20 14:58:43 GMT 2025","","test_login","",""
"","334","test_delete_user","tests.api","Sun Apr 20 14:58:20 GMT 2025","passed","Sun Apr 20 14:58:20 GMT 2025","","test_users","",""
"","3349","test_get_users_with_delay","tests.api","Sun Apr 20 14:58:20 GMT 2025","passed","Sun Apr 20 14:58:23 GMT 2025","","test_users","",""
"","329","test_unsuccessful_register","tests.api","Sun Apr 20 14:58:17 GMT 2025","passed","Sun Apr 20 14:58:18 GMT 2025","","test_register","",""
"","2801","test_login_with_locked_out_user_display_error[firefox]","tests.ui","Sun Apr 20 14:58:50 GMT 2025","passed","Sun Apr 20 14:58:53 GMT 2025","","test_login","",""
